id,nome,cilindrada,preco,descricao,ativo,imagem,cores,plano_1,valor_1,plano_2,valor_2,plano_3,valor_3,plano_4,valor_4,plano_5,valor_5,plano_6,valor_6,plano_7,valor_7
1,Honda CG 160 Titan,160,R$ 25.390 à vista,"A Honda CG 160 Titan é ideal para quem busca economia, conforto e confiabilidade no dia a dia.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/visao-da-lateral-direita-da-honda-cg-160-titan.webp,Vermelha; Preta; Cinza,24x,"1.348,60",36x,"916,89",48x,"695,96",60x,"565,01",80x,"436,04",,,,
2,Honda Biz 125 ES,125,R$ 16.490 à vista,"Prática, econômica e perfeita para uso urbano.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-Biz-125-ES-Preto-Black_0.webp,Azul; Branca; Vermelha,12x,"1.646,11",18x,"1.103,83",24x,"832,69",36x,"566,13",48x,"429,72",60x,"348,88",80x,"269,36"
3,Honda Biz 125 EX,125,R$ 20.490 à vista,"Mais tecnologia, conforto e economia para o dia a dia.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Biz-125-EX-Vermelho-Perolizado-Pearl-Pimenta%20Red_0.webp,Azul; Branca,12x,"2.037,26",18x,"1.366,12",24x,"1.030,56",36x,"700,66",48x,"531,84",60x,"431,78",80x,"333,37"
4,Honda Pop 110i ES,110,R$ 13.890 à vista,"Econômica, resistente e ideal para o dia a dia.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Pop-110i-Es-Preto-Black_0.webp,Vermelha; Branca,24x,"732,49",36x,"497,99",48x,"377,96",60x,"306,83",80x,"236,79",,,,
5,Honda Sahara 300 ABS,300,R$ 38.090 à vista,"Força, robustez e segurança para qualquer terreno.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Sahara-300-Cinza-Met%C3%A1lico.webp,Preta; Cinza,24x,"1.970,55",36x,"1.339,74",48x,"1.016,94",60x,"825,62",80x,"637,39",,,,
6,Honda Sahara 300 ADV,300,R$ 40.090 à vista,"Versão aventureira, completa e pronta para qualquer desafio.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Sahara-300-Adventure-Bege%20Met%C3%A1lico.webp,Bege; Preta,24x,"2.051,46",36x,"1.394,76",48x,"1.058,71",60x,"859,53",80x,"663,55",,,,
7,Honda CG 160 Fan,160,R$ 23.690 à vista,"Robusta, econômica e perfeita para o uso diário.",TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-CG-160-Fan-Prata-Met%C3%A1lico.webp,Preta; Prata,24x,"1.234,44",36x,"839,28",48x,"637,05",60x,"517,11",80x,"399,25",,,,
8,Honda CG 160 Start,160,R$ 21.690 à vista,Modelo acessível e econômico.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-CG-160-Start-Vermelho-Perolizado_0.webp,Vermelha; Preta,24x,"1.144,38",36x,"778,03",48x,"590,51",60x,"479,37",80x,"369,96",,,,
9,Honda XRE 190,190,R$ 29.590 à vista,Versátil e pronta para qualquer caminho.,TRUE,https://santaremmotos.com.br/wp-content/uploads/2025/01/imagem-home-honda-xre-190-lateral-vermelho-1.webp,Vermelha; Preta,24x,"1.520,31",36x,"1.033,63",48x,"784,57",60x,"636,97",80x,"491,73",,,,
10,Honda PCX CBS,160,R$ 23.190 à vista,Scooter premium com conforto e tecnologia.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/imagem-home-honda-pcx-branco_0.webp,Branca; Preta,24x,"1.490,13",36x,"1.013,12",48x,"769,00",60x,"624,33",80x,"482,03",,,,
11,Honda Hornet 500,471,R$ 50.990 à vista,Performance e esportividade em alto nível.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-honda-Hornet500-Vermelha-Lateral_0.webp,Vermelha; Preta,72x,"1.018,49",,,,,,,,,,,,
12,Honda CB 650R,649,R$ 66.490 à vista,Estilo Neo Sports Café com performance incrível.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-da-Moto-Honda-CB-650R-Azul-Perolizado.webp,Vermelha; Preta,72x,"1.052,60",,,,,,,,,,,,
13,Honda Twister ABS,300,R$ 31.090 à vista,Desempenho e segurança com freios ABS.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-honda-Twister-ABS-Azul-Lateral.webp,Azul; Preta,24x,"1.597,93",36x,"1.086,41",48x,"824,65",60x,"669,50",80x,"516,88",,,,
14,Honda Twister CBS,300,R$ 30.090 à vista,Agilidade urbana com frenagem combinada.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-honda-Twister-CBS-Vermelha-Lateral.webp,Vermelha; Prata,24x,"1.521,65",36x,"1.034,55",48x,"785,27",60x,"637,53",80x,"492,17",,,,
15,Honda Tornado 300L,300,R$ 36.990 à vista,A lenda voltou com muito mais força e tecnologia.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-XR-300L-Tornado-Vermelho-Fighting-Red.webp,Vermelha,24x,"1.890,65",36x,"1.285,42",48x,"975,71",60x,"792,15",80x,"611,54",,,,
16,NXR 160 Bros ABS,160,R$ 27.990 à vista,Adventure versátil com performance equilibrada.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-NXR-160-Bros-ABS-Cinza-Tempestade-Gray.webp,Cinza,24x,"1.393,22",36x,"947,23",48x,"718,99",60x,"583,73",80x,"450,68",,,,
17,NXR 160 Bros CBS,160,R$ 27.190 à vista,Conforto e robustez para todos os terrenos.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-NXR-160-Bros-CBS-Vermelha-Fighting-Red.webp,Vermelha; Preta,24x,"1.335,61",36x,"908,06",48x,"689,26",60x,"559,59",80x,"432,04",,,,
18,Honda ADV 160,160,R$ 28.590 à vista,A Scooter aventureira pronta para o asfalto e além.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-Honda-ADV-Vermelha-Lateral_0.webp,Vermelha; Cinza,24x,"1.547,03",36x,"1.051,80",48x,"798,37",60x,"648,17",80x,"500,43",,,,
19,Honda CRF 300F,300,R$ 24.190 à vista,Performance off-road pura para trilhas profissionais.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Honda-CRF-300F-Vermelho-Extreme-Red.webp,Vermelha,24x,"1.337,36",36x,"909,25",48x,"690,16",60x,"560,32",80x,"432,61",,,,
20,Honda Elite 125,125,R$ 15.690 à vista,Design moderno e muita facilidade de pilotagem.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Elite-125-Azul-Met%C3%A1lico-Mystery-Blue-Metallic_0.webp,Azul; Branca; Vermelha,24x,"1.130,51",36x,"768,60",48x,"583,35",60x,"473,56",80x,"365,48",,,,
21,Honda Africa Twin,1084,R$ 82.990 à vista,A aventureira definitiva para grandes viagens.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-12/CRF1100L-Africa-Twin-DCT-ES-vista-lateralmente.webp,Preta; Branca,72x,"1.078,04",,,,,,,,,,,,
22,Honda Transalp 750,755,R$ 67.890 à vista,Equilíbrio entre turismo e off-road.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-11/honda-transalp-vista-lateral-completa-da-motocicleta.webp,Branca; Preta,72x,"1.042,30",,,,,,,,,,,,
24,Honda Hornet 750,755,R$ 55.990 à vista,A lenda voltou com um motor bicilíndrico explosivo.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-10/360-site-16fr_MLBF_Hornet75000_3.webp,Branca; Preta,72x,"1.018,48",,,,,,,,,,,,
25,Honda NC 750X,745,R$ 59.990 à vista,Tecnologia e praticidade com porta-capacete integrado.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-10/Lateral-v.webp,Vermelha; Azul,72x,"1.056,58",,,,,,,,,,,,
26,Honda TRX 420,420,R$ 53.290 à vista,O quadriciclo campeão de vendas para o trabalho.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/TRX%20Vermelha%202023%20Cor%20Eixo_lateral.webp,Vermelha; Verde,24x,"3.520,38",36x,"2.393,49",48x,"1.816,79",60x,"1.474,01",80x,"1.138,44",,,,
27,Honda CBR 650R,649,R$ 69.990 à vista,Esportividade e adrenalina com 4 cilindros.,TRUE,https://powersports.honda.com/motorcycle/sport/-/media/products/family/cbr650r/trims/trim-main/cbr650r-e-clutch/2026/2026-cbr650r-e-clutch-matte_black_metallic-1505x923.png,Vermelha; Preta,72x,"1.000,52",,,,,,,,,,,,
28,Honda CB 1000R,998,R$ 87.990 à vista,A poderosa Black Edition com design Neo Sports Café.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2023-09/moto-honda-cb-1000r-vermelho-met%C3%A1lico-bordeaux-red-metallic-lateral_0.webp,Preta,72x,"994,93",,,,,,,,,,,,
29,Honda PCX ABS,160,R$ 25.590 à vista,Segurança avançada com freios ABS.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/visao-da-lateral-direita-da-honda-pcx-azul.webp,Azul; Branca,24x,"1.621,79",36x,"1.102,64",48x,"836,97",60x,"679,51",80x,"524,61",,,,
30,Honda NX 500,471,R$ 51.990 à vista,Estilo crossover para o seu dia a dia.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-home-honda-NX500-Vermelha-Lateral.webp,Preta; Vermelha,72x,"1.042,33",,,,,,,,,,,,
31,Honda Pop 110i ES +10,110,R$ 13.890 à vista,Condição especial com o Plano +10 para a sua Pop.,TRUE,https://www.honda.com.br/motos/sites/hda/files/2025-08/Imagem-Home-Pop-110i-Es-Vermelho-Fighting-Red_0.webp,Vermelha; Branca,24x,"732,49",36x,"497,99",48x,"377,96",60x,"306,83",80x,"236,79",,,,